,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
0,./datasets/emotionalspeech\1039_TSI_HAP_XX.wav,2.3771875,16000,1,2.688048,3.0757532,3.4820447,2.5555431831940503,2.965840856959644,3.610667515093959,3.2181776
1,./datasets/emotionalspeech\1016_WSI_SAD_XX.wav,2.3510625,16000,1,1.761383,2.1219518,3.0743032,1.800864019023736,2.2177040440045115,3.3065379222668416,2.8715498
2,./datasets/emotionalspeech\1039_IEO_DIS_LO.wav,2.4816875,16000,1,2.0735373,2.3900666,3.7897494,2.0680628223721684,2.4434440544463123,3.811194400379006,2.5787168
3,./datasets/emotionalspeech\1040_MTI_HAP_XX.wav,2.4555625,16000,1,1.4039257,1.8234676,2.0673866,1.4786909054699142,1.9521928829880622,2.3679360478101303,2.8608422
4,./datasets/emotionalspeech\1029_TIE_FEA_XX.wav,2.5078125,16000,1,2.4369574,2.5871837,3.9021213,2.362531823449076,2.601706603078776,3.8782102209564995,2.6808922
5,./datasets/emotionalspeech\1022_IEO_DIS_MD.wav,2.3771875,16000,1,2.113025,2.4543092,3.3466957,2.1009240095473256,2.4957403472602775,3.514566648585452,3.0481155
6,./datasets/emotionalspeech\1001_IWL_NEU_XX.wav,2.8735,16000,2,2.2101588,2.8301115,2.733229,2.180557760193153,2.7873416529763393,3.018333625256421,2.823279
7,./datasets/emotionalspeech\1020_WSI_HAP_XX.wav,2.4033125,16000,1,1.7626387,1.9194663,3.1948662,1.8019652321565522,2.0392190113707973,3.4010232457113365,2.5588527
8,./datasets/emotionalspeech\1009_WSI_NEU_XX.wav,2.742875,16000,1,2.2662046,2.8017714,3.3149996,2.226401670045606,2.7665773256767814,3.491364572364164,2.8425775
9,./datasets/emotionalspeech\1032_IWL_FEA_XX.wav,3.0825,16000,3,1.8855125,2.3313615,3.2169685,1.9084625929183883,2.39472854102515,3.417007193337503,2.553283
10,./datasets/emotionalspeech\1053_MTI_FEA_XX.wav,2.3510625,16000,1,1.7054112,1.8707592,3.273978,1.7515588786204863,1.995257830889674,3.4609432992248856,2.646404
11,./datasets/emotionalspeech\1030_IWW_SAD_XX.wav,3.2391875,16000,3,1.6495639,2.2098293,2.7053516,1.7013369328710013,2.2924124094243186,2.990567137059849,2.77824
12,./datasets/emotionalspeech\1034_TAI_HAP_XX.wav,2.899625,16000,2,1.7924585,2.1608071,3.1350725,1.827990544046052,2.250926655971656,3.35464105196154,2.967052
13,./datasets/emotionalspeech\1005_IOM_HAP_XX.wav,3.187,16000,3,1.9411787,2.9242766,2.182471,1.956054499265439,2.8563988636000253,2.4885088367306145,2.7330036
14,./datasets/emotionalspeech\1054_TAI_NEU_XX.wav,2.3510625,16000,1,1.4147047,2.0213969,2.4065568,1.4886587874710622,2.1299285259026393,2.7139154513154367,2.5617836
15,./datasets/emotionalspeech\1001_TSI_NEU_XX.wav,2.4816875,16000,1,2.475744,2.69981,3.8290284,2.392903996616935,2.6892032798763337,3.834997433554909,2.9010015
16,./datasets/emotionalspeech\1013_TIE_FEA_XX.wav,2.2988125,16000,1,1.6549109,1.9708871,3.1562304,1.7067097988668676,2.0851972221823707,3.3711611732485793,2.5325696
17,./datasets/emotionalspeech\1037_ITS_ANG_XX.wav,3.056375,16000,3,2.378992,2.981325,3.0550048,2.3166575223275183,2.8984392500556155,3.2905167840892786,3.060373
18,./datasets/emotionalspeech\1030_IEO_NEU_XX.wav,1.85475,16000,5,1.2788957,1.6566604,2.371755,1.3617760291027214,1.7967677112175973,2.674918327404874,2.602944
19,./datasets/emotionalspeech\1002_IWL_HAP_XX.wav,2.899625,16000,2,1.3424699,1.6934531,1.9849203,1.4203455535390381,1.8271990852669502,2.2757205726056604,2.5539408
20,./datasets/emotionalspeech\1003_DFA_DIS_XX.wav,3.2653125,16000,4,1.4850967,2.1512475,2.0847418,1.5531486324841683,2.242432204134424,2.385259273274716,2.5184517
21,./datasets/emotionalspeech\1049_TAI_SAD_XX.wav,2.2988125,16000,1,1.6291136,2.28248,2.331408,1.683666086845748,2.354311464255787,2.639870370307339,2.4390886
22,./datasets/emotionalspeech\1051_IEO_HAP_HI.wav,2.1159375,16000,7,2.0750449,2.3838007,3.1525328,2.0690778014681106,2.4379250905390646,3.3671941497404254,3.460942
23,./datasets/emotionalspeech\1055_TSI_SAD_XX.wav,2.4816875,16000,1,1.9110485,2.2923505,3.3668525,1.930620628124047,2.3625699217488028,3.529184197504907,2.5277252
