,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
0,./datasets/emotionalspeech\1062_ITS_NEU_XX.wav,2.3771875,16000,1,1.959019,2.5071716,3.3089943,2.179929872896694,2.7668042396615333,3.4695909525249724,2.8400774
1,./datasets/emotionalspeech\1033_IEO_SAD_MD.wav,2.4555625,16000,1,1.540802,1.9847963,3.4685276,1.699299118240151,2.1585500979773786,3.6485253037785785,2.7433836
2,./datasets/emotionalspeech\1006_DFA_ANG_XX.wav,2.638375,16000,1,2.7089944,3.1723478,3.3885005,3.0173047046798143,3.5013569979486006,3.5591677628434764,2.6898737
3,./datasets/emotionalspeech\1042_TAI_NEU_XX.wav,2.3510625,16000,1,1.4640887,2.3076084,2.2430296,1.610326357718221,2.5371252312041834,2.2659679712404968,2.7803607
4,./datasets/emotionalspeech\1009_IEO_ANG_MD.wav,2.3771875,16000,1,2.0086398,2.5468907,2.8004115,2.2363928626713325,2.812065598378071,2.887646076688121,2.824119
5,./datasets/emotionalspeech\1001_DFA_DIS_XX.wav,2.3771875,16000,1,1.9190586,2.4152205,2.8097076,2.1343653685032673,2.661433911048693,2.8982882919758586,2.6903412
6,./datasets/emotionalspeech\1017_MTI_ANG_XX.wav,2.6645,16000,1,2.2338212,3.1597958,2.7552547,2.4908941982846144,3.488008521224345,2.836015978574273,3.1667097
7,./datasets/emotionalspeech\1048_TIE_HAP_XX.wav,3.2391875,16000,3,1.1906811,1.3386351,2.755049,1.291560742827851,1.3819579693692245,2.8366170905392902,2.9266365
8,./datasets/emotionalspeech\1045_ITS_NEU_XX.wav,2.6645,16000,1,1.7768002,2.5429301,2.6330478,1.9715072659211996,2.807559410985366,2.6970112818343432,2.7058134
9,./datasets/emotionalspeech\1015_MTI_DIS_XX.wav,2.71675,16000,1,1.5096998,2.3152533,2.2822006,1.663253447292718,2.5459900653109475,2.3080700257792914,2.76719
10,./datasets/emotionalspeech\1033_TIE_DIS_XX.wav,2.951875,16000,2,1.564932,2.4473028,2.2741146,1.7267301830572879,2.696079367271243,2.29990440643564,3.0345135
11,./datasets/emotionalspeech\1046_TIE_ANG_XX.wav,2.2726875,16000,1,1.7388084,2.369709,2.8142376,1.9278506739021823,2.608987666239046,2.903475631222249,2.7677438
12,./datasets/emotionalspeech\1057_ITS_DIS_XX.wav,2.61225,16000,1,1.8528469,2.1611676,3.303983,2.0586891323536487,2.3663765071766045,3.4639215958902163,3.2975376
13,./datasets/emotionalspeech\1027_TSI_ANG_XX.wav,2.742875,16000,1,2.7116508,3.0319023,3.585409,3.020202292974473,3.3507796849054223,3.7772640696693593,3.0602589
14,./datasets/emotionalspeech\1031_TSI_DIS_XX.wav,2.5339375,16000,1,1.6915486,2.1596484,3.2043471,1.873452834596336,2.3645961256953796,3.350725094043365,2.6631515
15,./datasets/emotionalspeech\1016_IEO_NEU_XX.wav,1.776375,16000,5,1.4299507,2.0541952,2.2604415,1.5706568316316387,2.2404630118520568,2.2852253863522676,2.8026624
16,./datasets/emotionalspeech\1047_IEO_FEA_HI.wav,1.75025,16000,5,2.8514183,3.531901,3.1657853,3.1716099188104603,3.8738548821819903,3.305684779710338,2.7842987
