,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
0,.\datasets\readspeech\book_00008_chp_0146_reader_07907_10_seg_2.wav,10.333375,16000,1,3.1052194,3.3495047,4.20166,2.857356661732993,3.152345770125794,4.040602007189694,3.2872634
1,.\datasets\readspeech\book_00398_chp_0022_reader_09747_32_seg_1.wav,10.333375,16000,1,3.7254252,3.9992354,4.4086804,3.262527199094584,3.5446176771005513,4.1390279865861865,3.394606
2,.\datasets\readspeech\book_00423_chp_0005_reader_10531_26_seg_2.wav,10.333375,16000,1,3.2126048,3.4349113,4.2613997,2.9312359699844004,3.207956810226246,4.070163158717922,3.2756479
3,.\datasets\readspeech\book_00412_chp_0002_reader_10589_70_seg_2.wav,10.333375,16000,1,3.0687785,3.2855742,4.305108,2.831931352376975,3.109916783265091,4.0911961573588345,3.0734282
4,.\datasets\readspeech\book_00146_chp_0004_reader_10820_17_seg_1.wav,10.333375,16000,1,3.2954762,3.4751759,4.4213614,2.9871832647974332,3.233749524141264,4.144690226494337,3.2430983
5,.\datasets\readspeech\book_00423_chp_0005_reader_10531_14_seg_1.wav,10.333375,16000,1,3.505646,3.7845747,4.2071824,3.1249036426342838,3.4228597223382438,4.043374024055755,3.575684
6,.\datasets\readspeech\book_00237_chp_0007_reader_10599_60_seg_0.wav,10.333375,16000,1,2.5704656,3.086309,4.222993,2.4662207407422088,2.973265704489052,4.05126604181891,2.3224757
7,.\datasets\readspeech\book_00398_chp_0022_reader_09747_35_seg_0.wav,10.333375,16000,1,3.7608562,4.0402226,4.3514977,3.284101847760292,3.56698622005491,4.112969086222089,3.2970192
8,.\datasets\readspeech\book_00398_chp_0022_reader_09747_32_seg_0.wav,10.333375,16000,1,3.5292394,3.901547,4.0703707,3.1399907990579914,3.4901672296511546,3.972333300725122,3.7954857
9,.\datasets\readspeech\book_00255_chp_0011_reader_04471_20_seg_1.wav,10.333375,16000,1,3.3183243,3.4906826,4.2817802,3.002444814846126,3.243610216841615,4.080033111377155,3.7348275
10,.\datasets\readspeech\book_00398_chp_0022_reader_09747_34_seg_1.wav,10.333375,16000,1,3.599179,3.8511686,4.3820333,3.1842720661266264,3.46146053046182,4.126991716758716,3.152074
11,.\datasets\readspeech\book_00166_chp_0026_reader_01339_32_seg_0.wav,10.333375,16000,1,1.9626517,2.4606376,3.9339032,1.9746566897510165,2.500854394869538,3.8965609242013057,2.3811946
12,.\datasets\readspeech\book_00423_chp_0005_reader_10531_56_seg_2.wav,10.333375,16000,1,3.4337385,3.6827528,4.2316604,3.0784566849032062,3.362399174384285,4.055564589995855,3.88493
13,.\datasets\readspeech\book_00457_chp_0004_reader_06257_61_seg_0.wav,10.333375,16000,1,3.3457978,3.6262736,4.297333,3.0207023320846056,3.328111757626525,4.0874913684130565,2.450036
14,.\datasets\readspeech\book_00423_chp_0005_reader_10531_73_seg_2.wav,10.333375,16000,1,2.13344,2.775857,4.018963,2.117830479235117,2.7470774793080626,3.9443653085745174,2.412278
15,.\datasets\readspeech\book_00521_chp_0011_reader_05941_77_seg_2.wav,10.333375,16000,1,2.073397,2.5987213,3.9441192,2.067945582601813,2.610767788727044,3.902403093166831,2.1695786
16,.\datasets\readspeech\book_00603_chp_0015_reader_08994_18_seg_1.wav,10.333375,16000,1,3.7127817,3.9249349,4.3117023,3.2547871238460124,3.503349312187757,4.094325685632092,3.8487453
17,.\datasets\readspeech\book_00600_chp_0016_reader_11144_1_seg_1.wav,10.333375,16000,1,3.2492993,3.933522,3.3511174,2.9561234442981186,3.508166198673937,3.5177823891759425,4.076351
18,.\datasets\readspeech\book_00603_chp_0015_reader_08994_1_seg_1.wav,10.333375,16000,1,3.4815073,3.6300626,4.4487,3.1093898492524286,3.3304287175730134,4.156753180169835,3.622806
19,.\datasets\readspeech\book_00588_chp_0025_reader_01357_27_seg_1.wav,10.333375,16000,1,3.9738193,4.1850557,4.533282,3.410200422292028,3.6437680388418974,4.192827988116091,3.6482904
20,.\datasets\readspeech\book_00622_chp_0007_reader_10606_41_seg_0.wav,10.333375,16000,1,2.6337266,3.4961762,2.7329803,2.5145100570642627,3.247093918953978,3.01828505501194,3.4398942
