,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
0,.\datasets\readspeech\book_00255_chp_0011_reader_04471_20_seg_1.wav,10.333375,16000,1,2.773319,2.900031,4.3737345,3.0873150902645388,3.207050634877624,4.555698158192202,3.7348275
1,.\datasets\readspeech\book_00398_chp_0022_reader_09747_32_seg_0.wav,10.333375,16000,1,3.9284434,4.225113,4.6125774,4.281070388395056,4.531090172624606,4.746681191208255,3.7954857
2,.\datasets\readspeech\book_00412_chp_0002_reader_10589_70_seg_2.wav,10.333375,16000,1,2.5434086,2.8763483,3.9145968,2.8356481378275937,3.1810088447290212,4.1247104923472,3.0734282
3,.\datasets\readspeech\book_00398_chp_0022_reader_09747_35_seg_0.wav,10.333375,16000,1,3.7721329,4.0304084,4.4280987,4.127452100097554,4.355509729701086,4.60142329246012,3.2970192
4,.\datasets\readspeech\book_00423_chp_0005_reader_10531_26_seg_2.wav,10.333375,16000,1,3.3100798,3.5380602,4.3930664,3.6580463501283798,3.880163008171892,4.572102881493764,3.2756479
5,.\datasets\readspeech\book_00008_chp_0146_reader_07907_10_seg_2.wav,10.333375,16000,1,3.3163252,3.6109598,4.3739986,3.664534368758508,3.953188387804296,4.555923389901874,3.2872634
6,.\datasets\readspeech\book_00237_chp_0007_reader_10599_60_seg_0.wav,10.333375,16000,1,2.4433098,3.1170082,4.2026997,2.7248790156814198,3.4423430887245603,4.403962600063913,2.3224757
7,.\datasets\readspeech\book_00398_chp_0022_reader_09747_34_seg_1.wav,10.333375,16000,1,3.9462483,4.141574,4.723086,4.298391940449194,4.456674454765103,4.825800126652723,3.152074
8,.\datasets\readspeech\book_00398_chp_0022_reader_09747_32_seg_1.wav,10.333375,16000,1,3.8070703,4.062966,4.4557524,4.162026197065461,4.3853870023487005,4.624190335828308,3.394606
9,.\datasets\readspeech\book_00166_chp_0026_reader_01339_32_seg_0.wav,10.333375,16000,1,2.2116265,2.8840356,4.120967,2.4659417035624873,3.1894693525350393,4.3275452946149455,2.3811946
10,.\datasets\readspeech\book_00423_chp_0005_reader_10531_14_seg_1.wav,10.333375,16000,1,3.5809813,3.85901,4.4108434,3.9359377306963297,4.194924119414206,4.587047563000102,3.575684
11,.\datasets\readspeech\book_00423_chp_0005_reader_10531_73_seg_2.wav,10.333375,16000,1,1.9974201,2.6507027,3.9317951,2.223637556232179,2.9296028585869855,4.142111288223746,2.412278
12,.\datasets\readspeech\book_00423_chp_0005_reader_10531_56_seg_2.wav,10.333375,16000,1,3.71261,3.9917655,4.4334216,4.068238434047571,4.319784796545897,4.605831763247766,3.88493
13,.\datasets\readspeech\book_00146_chp_0004_reader_10820_17_seg_1.wav,10.333375,16000,1,3.0445611,3.2593348,4.310656,3.378860248262216,3.593255235767457,4.5010895514093345,3.2430983
14,.\datasets\readspeech\book_00521_chp_0011_reader_05941_77_seg_2.wav,10.333375,16000,1,2.318869,3.0236585,3.963587,2.586227764715345,3.3418595995725244,4.174051719882051,2.1695786
15,.\datasets\readspeech\book_00588_chp_0025_reader_01357_27_seg_1.wav,10.333375,16000,1,3.7082572,3.996341,4.4463286,4.063893067618823,4.324029596066839,4.616469759256657,3.6482904
16,.\datasets\readspeech\book_00457_chp_0004_reader_06257_61_seg_0.wav,10.333375,16000,1,2.7524838,2.9985292,3.985029,3.0646734218125515,3.314614455006103,4.195424353771814,2.450036
17,.\datasets\readspeech\book_00600_chp_0016_reader_11144_1_seg_1.wav,10.333375,16000,1,3.0905576,3.9157891,3.2183704,3.4276811565912597,4.248725372751171,3.3667065661132662,4.076351
18,.\datasets\readspeech\book_00603_chp_0015_reader_08994_1_seg_1.wav,10.333375,16000,1,3.1252415,3.3863702,4.225786,3.4643710701857584,3.725490050798397,4.425107886457965,3.622806
19,.\datasets\readspeech\book_00603_chp_0015_reader_08994_18_seg_1.wav,10.333375,16000,1,3.6734385,3.9232774,4.465097,4.029060247569353,4.255776744247565,4.631807048967362,3.8487453
20,.\datasets\readspeech\book_00611_chp_0004_reader_03573_84_seg_2.wav,10.333375,16000,1,1.9571846,2.7113497,3.8012285,2.1778400402030687,2.997738530188179,4.007981465718483,2.4098458
21,.\datasets\readspeech\book_00622_chp_0007_reader_10606_41_seg_0.wav,10.333375,16000,1,3.142417,3.8904605,3.4353282,3.482499973804076,4.224797948838917,3.611563199661311,3.4398942
22,.\datasets\readspeech\book_00701_chp_0012_reader_02603_41_seg_1.wav,10.333375,16000,1,1.8460145,2.4320898,3.8055253,2.050867730565839,2.6808251984695577,4.012466825744698,2.0273209
23,.\datasets\readspeech\book_00622_chp_0007_reader_10606_53_seg_0.wav,10.333375,16000,1,3.3142366,3.9080055,3.556515,3.6623650939594947,4.241384871901888,3.7456556529627996,3.24839
24,.\datasets\readspeech\book_00702_chp_0022_reader_09751_46_seg_0.wav,10.333375,16000,1,3.1913133,3.47961,4.377128,3.5339642841862084,3.8209913891277205,4.558589378746681,3.4707263
25,.\datasets\readspeech\book_00691_chp_0004_reader_07356_50_seg_2.wav,10.333375,16000,1,3.4458952,3.6293108,4.466417,3.7982833967138827,3.9714332320680388,4.632879734776324,3.4238546
26,.\datasets\readspeech\book_00702_chp_0022_reader_09751_11_seg_1.wav,10.333375,16000,1,3.5209496,3.8435278,4.110815,3.874995081763187,4.1801522149102395,4.317889444981141,3.774892
27,.\datasets\readspeech\book_00737_chp_0013_reader_08682_91_seg_0.wav,10.333375,16000,1,3.3171053,3.5343277,4.3265758,3.6653445203220376,3.8764008467792923,4.515025333445932,2.9503076
28,.\datasets\readspeech\book_01218_chp_0001_reader_05527_66_seg_0.wav,10.333375,16000,1,4.003542,4.216124,4.566945,4.353879901398786,4.523150498956835,4.712235685092923,3.6103723
29,.\datasets\readspeech\book_00816_chp_0005_reader_10609_32_seg_0.wav,10.333375,16000,1,1.9731677,2.8905165,2.9247417,2.196042855448673,3.1965965544097346,3.030236545743325,2.1468005
30,.\datasets\readspeech\book_01218_chp_0005_reader_04861_12_seg_2.wav,10.333375,16000,1,1.658015,1.870292,3.0196474,1.8347947526079555,2.022498248536896,3.1392385066460697,3.27439
31,.\datasets\readspeech\book_01218_chp_0005_reader_04861_11_seg_1.wav,10.333375,16000,1,1.5773914,1.8235507,3.0287542,1.7416556857979106,1.966732301558092,3.1496944426899987,3.4851944
32,.\datasets\readspeech\book_01218_chp_0005_reader_04861_13_seg_1.wav,10.333375,16000,1,2.5790088,3.3801212,2.9051702,2.874873036044359,3.7190417047988573,3.0077633409152824,3.6548448
33,.\datasets\readspeech\book_01220_chp_0003_reader_09382_40_seg_1.wav,10.333375,16000,1,3.752277,4.1055584,4.1776114,4.10774242671686,4.424163261953434,4.3807607868512015,3.56276
34,.\datasets\readspeech\book_01218_chp_0005_reader_04861_1_seg_1.wav,10.333375,16000,1,2.624398,3.826142,2.494654,2.9247505721461406,4.163512676949408,2.541414891107528,3.8904998
35,.\datasets\readspeech\book_01220_chp_0003_reader_09382_41_seg_0.wav,10.333375,16000,1,3.1412556,4.441187,2.854871,3.4812750049332175,4.716896167496955,2.9500439926724873,3.6139255
36,.\datasets\readspeech\book_01220_chp_0003_reader_09382_41_seg_2.wav,10.333375,16000,1,3.2845542,4.037884,3.3848495,3.6314903614485528,4.362388178732418,3.5550707520042564,3.5349255
37,.\datasets\readspeech\book_01220_chp_0003_reader_09382_42_seg_2.wav,10.333375,16000,1,2.9071286,4.352144,2.6227655,3.2319020019382285,4.64151610381819,2.6853757375538003,3.5274067
38,.\datasets\readspeech\book_01220_chp_0003_reader_09382_53_seg_0.wav,10.333375,16000,1,3.1416657,4.344442,2.902968,3.4817075678963882,4.634916749878647,3.0052349531774736,3.9034753
39,.\datasets\readspeech\book_01220_chp_0003_reader_09382_43_seg_0.wav,10.333375,16000,1,3.1156359,4.211011,2.906118,3.454220627467398,4.5186268651894625,3.0088514206152914,3.692722
40,.\datasets\readspeech\book_01220_chp_0003_reader_09382_57_seg_1.wav,10.333375,16000,1,2.9346523,3.9321082,2.925403,3.2614613296269455,4.264078998583322,3.0309960679900816,3.438954
41,.\datasets\readspeech\book_01220_chp_0003_reader_09382_57_seg_2.wav,10.333375,16000,1,2.9532576,4.1689816,2.681972,3.2814066912404445,4.481243162054902,2.7525127667142186,3.7257955
42,.\datasets\readspeech\book_01220_chp_0003_reader_09382_58_seg_1.wav,10.333375,16000,1,3.535159,4.37244,3.3792224,3.889453819061653,4.6588467591023095,3.548752747727541,3.5680902
43,.\datasets\readspeech\book_01220_chp_0003_reader_09382_61_seg_0.wav,10.333375,16000,1,3.6507907,4.2704835,3.6273565,4.006333276501089,4.570913367759128,3.8228756178176737,3.8231728
44,.\datasets\readspeech\book_01220_chp_0003_reader_09382_58_seg_0.wav,10.333375,16000,1,3.4836636,4.298663,3.3508174,3.8369569846666995,4.595434263951678,3.516801921736081,3.777054
45,.\datasets\readspeech\book_01220_chp_0003_reader_09382_61_seg_1.wav,10.333375,16000,1,3.316781,4.0849686,3.3753717,3.665007789593776,4.405462390018868,3.544427040503018,3.3711162
46,.\datasets\readspeech\book_01220_chp_0003_reader_09382_61_seg_2.wav,10.333375,16000,1,2.9926074,4.0608816,2.8218443,3.3234945242152563,4.3834804495356385,2.912188339427103,3.7816792
47,.\datasets\readspeech\book_01220_chp_0003_reader_09382_68_seg_0.wav,10.333375,16000,1,3.1950717,4.214377,3.0181804,3.5379110626988286,4.521605389991836,3.1375540714446726,3.463951
48,.\datasets\readspeech\book_01220_chp_0003_reader_09382_71_seg_1.wav,10.333375,16000,1,3.017004,4.08174,2.8867502,3.349522386126946,4.402522426439817,2.9866187118556216,3.4794695
49,.\datasets\readspeech\book_01220_chp_0003_reader_09382_72_seg_2.wav,10.333375,16000,1,3.3257017,4.1933346,3.2009232,3.674268166336299,4.502947676780032,3.3468208987389456,3.6068258
50,.\datasets\readspeech\book_01220_chp_0003_reader_09382_62_seg_1.wav,10.333375,16000,1,3.433839,4.091846,3.4507165,3.7859082087044382,4.411718074371838,3.628715426091098,3.4033263
51,.\datasets\readspeech\book_01220_chp_0003_reader_09382_74_seg_2.wav,10.333375,16000,1,3.0179613,4.003296,3.02552,3.3505425961551047,4.3304742461798424,3.145981366034544,3.3149683
52,.\datasets\readspeech\book_01220_chp_0003_reader_09382_73_seg_1.wav,10.333375,16000,1,3.42381,4.0940237,3.4890547,3.7756026681040926,4.413696994269135,3.671296868345342,3.190635
53,.\datasets\readspeech\book_01220_chp_0003_reader_09382_78_seg_0.wav,10.333375,16000,1,3.5445037,4.090224,3.7048888,3.898950982705385,4.410243357131859,3.9062485554631574,3.554978
54,.\datasets\readspeech\book_01220_chp_0003_reader_09382_79_seg_2.wav,10.333375,16000,1,3.449036,4.0735917,3.577018,3.801504821550696,4.3950938130459125,3.768100472491659,3.3698955
55,.\datasets\readspeech\book_01220_chp_0003_reader_09382_79_seg_0.wav,10.333375,16000,1,2.9606104,3.82132,3.041404,3.2892811138641442,4.158888022225799,3.1642154729194782,3.5212448
56,.\datasets\readspeech\book_01220_chp_0003_reader_09382_77_seg_0.wav,10.333375,16000,1,2.9793756,3.899127,2.9444702,3.3093567555151475,4.232998277839077,3.052894624321647,3.1151392
57,.\datasets\readspeech\book_01220_chp_0003_reader_09382_7_seg_0.wav,10.333375,16000,1,3.1034312,3.9034986,3.3823476,3.4413118779482073,4.237129537579879,3.5522621059871082,3.4269598
58,.\datasets\readspeech\book_01220_chp_0003_reader_09382_82_seg_2.wav,10.333375,16000,1,3.431634,3.9534147,3.661089,3.7836431464326643,4.284050672860703,3.8593032830454206,3.4800618
59,.\datasets\readspeech\book_01220_chp_0003_reader_09382_81_seg_0.wav,10.333375,16000,1,3.4402962,4.3648562,3.2545712,3.7925379960190138,4.652381385746519,3.407891692961051,3.4194398
60,.\datasets\readspeech\book_01220_chp_0003_reader_09382_82_seg_0.wav,10.333375,16000,1,3.5350728,4.0959473,3.7643986,3.8893660603359934,4.415444190163891,3.969348605948353,3.7299638
61,.\datasets\readspeech\book_01220_chp_0003_reader_09382_80_seg_1.wav,10.333375,16000,1,3.1680458,3.9529421,3.2266176,3.509501944185907,4.283608649073,3.376098430845546,3.450638
62,.\datasets\readspeech\book_01220_chp_0003_reader_09382_91_seg_0.wav,10.333375,16000,1,3.498378,4.195258,3.5349638,3.8519851523963715,4.504656961970662,3.721983590150872,3.6188507
63,.\datasets\readspeech\book_01220_chp_0003_reader_09382_89_seg_2.wav,10.333375,16000,1,3.3477974,4.138199,3.331155,3.6971722720891846,4.453638671448066,3.4946302767183433,3.571678
64,.\datasets\readspeech\book_01220_chp_0003_reader_09382_95_seg_2.wav,10.333375,16000,1,3.4570491,4.1007614,3.5619614,3.8097195887400384,4.4198137729813105,3.7516252398465215,3.3572397
65,.\datasets\readspeech\book_01220_chp_0003_reader_09382_95_seg_1.wav,10.333375,16000,1,3.049282,3.9476907,3.0201168,3.383879615513631,4.278693626164347,3.1397775295850416,3.3630996
66,.\datasets\readspeech\book_01220_chp_0003_reader_09382_96_seg_0.wav,10.333375,16000,1,1.8447058,2.4266438,3.2022657,2.0493693483732596,2.674567965376711,3.348351846619062,2.0206063
67,.\datasets\readspeech\book_01239_chp_0008_reader_10191_14_seg_1.wav,10.333375,16000,1,2.2902014,2.5859063,3.7319286,2.554143745867032,2.856370503491905,3.9350203364294845,2.0756216
68,.\datasets\readspeech\book_01239_chp_0008_reader_10191_14_seg_0.wav,10.333375,16000,1,3.0282447,3.4113767,3.89115,3.361497426996218,3.751234924534841,4.100852950638604,2.9407804
69,.\datasets\readspeech\book_01257_chp_0018_reader_06730_43_seg_2.wav,10.333375,16000,1,2.747044,2.9846272,4.1361947,3.0587564371544667,3.2995071095718136,4.341962314016218,3.1012096
70,.\datasets\readspeech\book_01254_chp_0004_reader_06178_109_seg_1.wav,10.333375,16000,1,2.1120715,2.8388886,3.9958181,2.353654301481342,3.139679905232969,4.206125902366362,2.509486
