,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
0,datasets/readspeech\book_03553_chp_0006_reader_02635_3_seg_2.wav,10.333375,16000,1,3.7061596,3.9216313,4.486924,4.061798313569771,4.254227623915544,4.649445564795761,3.4079003
1,datasets/readspeech\book_04361_chp_0009_reader_08110_8_seg_2.wav,10.333375,16000,1,4.039737,4.2955837,4.5200906,4.388735442779925,4.592762679325977,4.675831980960208,3.9596663
2,datasets/readspeech\book_04939_chp_0001_reader_08577_52_seg_2.wav,10.333375,16000,1,3.6990817,4.056924,4.1611977,4.054726490925689,4.379857825403453,4.365457768616862,3.9864957
3,datasets/readspeech\book_03533_chp_0017_reader_07966_20_seg_1.wav,10.333375,16000,1,3.9961576,4.2439976,4.4616632,4.346749915068145,4.547717025697123,4.629012786148666,4.1193514
4,datasets/readspeech\book_10007_chp_0006_reader_06690_43_seg_2.wav,10.333375,16000,1,4.079055,4.273864,4.579769,4.4264210485443485,4.573863447553656,4.722017706264067,4.1620474
5,datasets/readspeech\book_08293_chp_0009_reader_03283_7_seg_2.wav,10.333375,16000,1,3.1064644,4.040269,3.1392684,3.44452126712376,4.364580025012851,3.2763886489046485,4.2794704
6,datasets/readspeech\book_02092_chp_0005_reader_08168_15_seg_0.wav,10.333375,16000,1,3.8881676,4.1812925,4.488339,4.2417531194938105,4.492230139487879,4.650581406688218,3.9475963
7,datasets/readspeech\book_01989_chp_0006_reader_08694_10_seg_2.wav,10.333375,16000,1,3.7639716,4.0146356,4.357329,4.119356183762011,4.340962259909936,4.541653350135396,4.0923066
8,datasets/readspeech\book_10449_chp_0001_reader_00852_22_seg_1.wav,10.333375,16000,1,3.8094487,4.124462,4.3966537,4.164374994142426,4.441259548635497,4.575129496869568,3.7610538
9,datasets/readspeech\book_05948_chp_0012_reader_04842_9_seg_2.wav,10.333375,16000,1,3.7141418,4.041512,4.382437,4.069767165546329,4.3657221921017495,4.563102730888833,4.1929026
10,datasets/readspeech\book_07862_chp_0013_reader_02310_13_seg_1.wav,10.333375,16000,1,3.983211,4.1607833,4.5365973,4.33423371870262,4.473909779769734,4.688774705202658,4.113978
11,datasets/readspeech\book_02668_chp_0001_reader_06016_3_seg_2.wav,10.333375,16000,1,3.1899114,3.6332064,3.6471734,3.532491796428804,3.9752989813969446,3.844303854935955,3.977102
12,datasets/readspeech\book_04284_chp_0033_reader_03438_40_seg_2.wav,10.333375,16000,1,3.380504,3.792703,3.9266849,3.730988508971837,4.13135689380709,4.136949703627261,3.9152534
13,datasets/readspeech\book_03549_chp_0007_reader_00084_43_seg_1.wav,10.333375,16000,1,3.522573,3.9311492,4.054719,3.876647995314195,4.263178170558242,4.263907355812803,3.6379194
14,datasets/readspeech\book_00702_chp_0022_reader_09751_6_seg_0.wav,10.333375,16000,1,4.1054597,4.4020157,4.5273137,4.451625666589411,4.683944516937357,4.681511208224357,4.0780582
15,datasets/readspeech\book_03741_chp_0036_reader_02508_15_seg_0.wav,10.333375,16000,1,3.4612756,3.6577208,4.4492016,3.8140497276332526,3.999567703171885,4.618827646157358,3.9789975
16,datasets/readspeech\book_09145_chp_0006_reader_06390_8_seg_1.wav,10.333375,16000,1,2.8144855,3.346934,3.4362705,3.1319505204942186,3.6846966903363216,3.6126144044144737,3.5417104
17,datasets/readspeech\book_04076_chp_0003_reader_00867_63_seg_1.wav,10.333375,16000,1,3.7703147,4.0448985,4.371235,4.1256491238519555,4.368832181734131,4.55356554319572,3.9231694
18,datasets/readspeech\book_01994_chp_0013_reader_08907_22_seg_2.wav,10.333375,16000,1,3.6935954,4.066512,4.231039,4.049241250525751,4.388628958381544,4.42989116066631,3.9446967
19,datasets/readspeech\book_07319_chp_0009_reader_06868_0_seg_1.wav,10.333375,16000,1,3.377504,3.8662474,3.876936,3.727891288847207,4.201814652972837,4.0863157017524765,3.9069166
20,datasets/readspeech\book_04759_chp_0002_reader_02859_38_seg_1.wav,10.333375,16000,1,4.206346,4.3653755,4.673903,4.547143545901539,4.652824480457974,4.791354826757576,3.9269478
21,datasets/readspeech\book_07319_chp_0009_reader_06868_10_seg_0.wav,10.333375,16000,1,3.8361146,4.089092,4.3745365,4.190664986685724,4.409213958658871,4.5563818937226435,4.1416717
22,datasets/readspeech\book_02165_chp_0001_reader_03325_28_seg_0.wav,10.333375,16000,1,2.7236621,3.4850843,3.0726306,3.033297105317106,3.8265563506197573,3.2000446501266886,3.3710413
