,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
0,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_breathy_f1_arpeggios_breathy_i_48kHz.wav,2.56925,16000,1,2.7451434,3.178955,3.1532867,3.0566884775248337,3.5083747497349322,3.2924224697518087,2.2050097
1,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_breathy_f1_arpeggios_breathy_u_48kHz.wav,2.2739375,16000,1,2.345493,2.954754,2.6075873,2.615977448793009,3.2669606073559705,2.6682197873182893,2.2275035
2,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_breathy_f1_arpeggios_breathy_o_48kHz.wav,2.3920625,16000,1,2.8255646,2.964582,3.5244668,3.1439401629961754,3.277680421233049,3.7104246612543723,2.2146337
3,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_belt_f1_arpeggios_belt_c_a_48kHz.wav,2.4265,16000,1,1.4987013,3.2933764,1.3331033,1.6504979553641723,3.628923786727559,1.4185530959265504,2.5765069
4,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_belt_f1_arpeggios_belt_c_u_48kHz.wav,2.4875625,16000,1,2.000688,3.5627177,1.759296,2.227353527692079,3.9049601983674904,1.7789245962402356,2.229015
5,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_breathy_f1_arpeggios_breathy_e_48kHz.wav,2.510125,16000,1,2.6322796,3.1049616,3.0137804,2.9333962045257116,3.4294412682164253,3.132501662398709,2.2109962
6,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_belt_f1_arpeggios_belt_c_o_48kHz.wav,2.609625,16000,1,1.7072358,3.3884306,1.4036365,1.8915204675869917,3.7276149078625016,1.472698840720196,2.6758013
7,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_belt_f1_arpeggios_belt_c_e_48kHz.wav,2.579125,16000,1,1.6241529,3.389516,1.2888736,1.7957090621630938,3.7287341196823274,1.3858300845634903,2.3403497
8,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_breathy_f1_arpeggios_breathy_a_48kHz.wav,2.480625,16000,1,2.621187,2.9547937,3.1318758,2.921226982880458,3.267003801218637,3.2679289501804702,2.5052536
9,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_belt_f1_arpeggios_belt_c_i_48kHz.wav,2.6706875,16000,1,2.0280213,3.665265,1.7518611,2.2584109475280747,4.0070160078984856,1.772010045646764,1.9436412
10,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_fast_forte_f1_arpeggios_c_fast_forte_e_48kHz.wav,0.8068125,16000,3,1.6093639,3.173643,1.2884878,1.7785418665212458,3.5027143094762785,1.3862487885174362,2.3823853
11,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_fast_piano_f1_arpeggios_c_fast_piano_a_48kHz.wav,0.65725,16000,1,1.503392,2.9146729,1.3469431,1.6559384923217078,3.2231165350950355,1.4289894898840958,2.776284
12,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_fast_forte_f1_arpeggios_f_fast_forte_u_48kHz.wav,0.71475,16000,2,1.5528488,3.0682187,1.4909708,1.7132301112365547,3.3899191500447117,1.5429514754858262,2.735551
13,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_fast_piano_f1_arpeggios_c_fast_piano_e_48kHz.wav,0.6924375,16000,2,1.4643048,2.9462075,1.3318819,1.6105753987918041,3.256944608847766,1.417947973429177,2.5196495
14,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_fast_piano_f1_arpeggios_c_fast_piano_i_48kHz.wav,0.63375,16000,1,1.6386487,2.8952804,1.6300697,1.8124469757107504,3.201832179620294,1.6616834418286213,2.6378758
15,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_fast_forte_f1_arpeggios_f_fast_forte_a_48kHz.wav,0.7686875,16000,3,1.5171906,2.779713,1.5144949,1.6719254848021678,3.07380468673766,1.562456089707875,2.612765
16,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_fast_forte_f1_arpeggios_c_fast_forte_i_48kHz.wav,0.8301875,16000,4,1.5845554,3.395212,1.3309001,1.749939904149231,3.734438289674648,1.4170805739820125,2.6693254
17,.\datasets\VocalSet_48kHz_mono\vocalset_female1_arpeggios_fast_forte_f1_arpeggios_f_fast_forte_e_48kHz.wav,0.7551875,16000,3,1.4808067,2.7378213,1.4044671,1.6297175210754453,3.027140435034898,1.47343775820411,2.6110845
