,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
0,./datasets/vocalset48khzmono\vocalset_male11_scales_fast_piano_m11_scales_c_fast_piano_i_48kHz.wav,1.3213125,16000,1,1.9065299,3.4037192,1.7268243,2.1200627459433616,3.7433614602708376,1.7488733653392914,2.5364275
1,./datasets/vocalset48khzmono\vocalset_female9_scales_fast_piano_f9_scales_c_fast_piano_a_48kHz.wav,1.2365625,16000,1,1.9747207,2.687244,2.0695894,2.1978108823204425,2.970704210036764,2.0837745638147354,2.4211364
2,./datasets/vocalset48khzmono\vocalset_male10_scales_slow_forte_m10_scales_f_slow_forte_i_48kHz.wav,3.0356875,16000,3,1.4689384,2.6562958,1.3444268,1.6159295948648642,2.9356779342634263,1.4277721603941613,2.3946667
3,./datasets/vocalset48khzmono\vocalset_female7_scales_vocal_fry_f7_scales_vocal_fry_o_48kHz.wav,3.170625,16000,3,1.9769968,3.099862,1.5654198,2.2002380045355707,3.423535300740711,1.6071157937485125,2.372002
4,./datasets/vocalset48khzmono\vocalset_female6_arpeggios_fast_forte_f6_arpeggios_c_fast_forte_u_48kHz.wav,0.8718125,16000,4,1.7392684,3.3937464,1.4331588,1.9283573203228426,3.733032023433261,1.4967407159318444,2.5514305
5,./datasets/vocalset48khzmono\vocalset_male4_long_tones_trill_m4_long_trill_o_48kHz.wav,3.06975,16000,3,1.732099,3.5108716,1.4780842,1.920125120324996,3.852563590824348,1.5327940830332063,2.5499246
6,./datasets/vocalset48khzmono\vocalset_male3_scales_fast_forte_m3_scales_c_fast_forte_a_48kHz.wav,1.373,16000,1,1.5437672,3.4931695,1.4066861,1.7027336729008993,3.8347667898718694,1.4750930026578626,2.599959
7,./datasets/vocalset48khzmono\vocalset_male10_arpeggios_breathy_m10_arpeggios_breathy_e_48kHz.wav,1.676125,16000,4,2.8472998,3.5164506,2.960418,3.1673865302683315,3.8581438225375586,3.071254288682268,2.4608045
8,./datasets/vocalset48khzmono\vocalset_female5_long_tones_forte_f5_long_forte_u_48kHz.wav,4.6811875,16000,1,1.7166023,3.2778275,1.5378056,1.9023030685179187,3.6126526334511677,1.58201363265945,2.082938
9,./datasets/vocalset48khzmono\vocalset_female4_scales_vocal_fry_f4_scales_vocal_fry_e_48kHz.wav,3.358875,16000,4,1.8932483,1.9266331,2.9591107,2.104881163754604,2.089405951683159,3.0697675579047963,2.4372163
10,./datasets/vocalset48khzmono\vocalset_female6_arpeggios_straight_f6_arpeggios_straight_o_48kHz.wav,2.593,16000,1,2.0465386,3.8735144,1.7956235,2.279428019308559,4.208723771787408,1.812994023497181,2.421178
